time_code,year,month,day,week
20140112,2014,1,12,2
20140113,2014,1,13,3
20140114,2014,1,14,3
20140115,2014,1,15,3
20140116,2014,1,16,3
20140117,2014,1,17,3
20140118,2014,1,18,3
20140119,2014,1,19,3
20140120,2014,1,20,4
20140121,2014,1,21,4
20140122,2014,1,22,4
20140123,2014,1,23,4
20140124,2014,1,24,4
20140125,2014,1,25,4
20140126,2014,1,26,4
20140127,2014,1,27,5
20140128,2014,1,28,5
20140129,2014,1,29,5
20140130,2014,1,30,5
20140131,2014,1,31,5
20140201,2014,2,1,5
20140202,2014,2,2,5
20140203,2014,2,3,6
20140204,2014,2,4,6
20140205,2014,2,5,6
20140206,2014,2,6,6
20140207,2014,2,7,6
20140208,2014,2,8,6
20140209,2014,2,9,6
20140210,2014,2,10,7
20140211,2014,2,11,7
20140212,2014,2,12,7
20140213,2014,2,13,7
20140214,2014,2,14,7
20140215,2014,2,15,7
20140216,2014,2,16,7
20140217,2014,2,17,8
20140218,2014,2,18,8
20140219,2014,2,19,8
20140220,2014,2,20,8
20140221,2014,2,21,8
20140222,2014,2,22,8
20140223,2014,2,23,8
20140224,2014,2,24,9
20140225,2014,2,25,9
20140226,2014,2,26,9
20140227,2014,2,27,9
20140228,2014,2,28,9
20140301,2014,3,1,9
20140302,2014,3,2,9
20140303,2014,3,3,10
20140304,2014,3,4,10
20140305,2014,3,5,10
20140306,2014,3,6,10
20140307,2014,3,7,10
20140308,2014,3,8,10
20140309,2014,3,9,10
20140310,2014,3,10,11
20140311,2014,3,11,11
20140312,2014,3,12,11
20140313,2014,3,13,11
20140314,2014,3,14,11
20140315,2014,3,15,11
20140316,2014,3,16,11
20140317,2014,3,17,12
20140318,2014,3,18,12
20140319,2014,3,19,12
20140320,2014,3,20,12
20140321,2014,3,21,12
20140322,2014,3,22,12
20140323,2014,3,23,12
20140324,2014,3,24,13
20140325,2014,3,25,13
20140326,2014,3,26,13
20140327,2014,3,27,13
20140328,2014,3,28,13
20140329,2014,3,29,13
20140330,2014,3,30,13
20140331,2014,3,31,14
20140401,2014,4,1,14
20140402,2014,4,2,14
20140403,2014,4,3,14
20140404,2014,4,4,14
20140405,2014,4,5,14
20140406,2014,4,6,14
20140407,2014,4,7,15
20140408,2014,4,8,15
20140409,2014,4,9,15
20140410,2014,4,10,15
20140411,2014,4,11,15
20140412,2014,4,12,15
20140413,2014,4,13,15
20140414,2014,4,14,16
20140415,2014,4,15,16
20140416,2014,4,16,16
20140417,2014,4,17,16
20140418,2014,4,18,16
20140419,2014,4,19,16
20140420,2014,4,20,16
20140421,2014,4,21,17
20140422,2014,4,22,17
20140423,2014,4,23,17
20140424,2014,4,24,17
20140425,2014,4,25,17
20140426,2014,4,26,17
20140427,2014,4,27,17
20140428,2014,4,28,18
20140429,2014,4,29,18
20140430,2014,4,30,18
20140501,2014,5,1,18
20140502,2014,5,2,18
20140503,2014,5,3,18
20140504,2014,5,4,18
20140505,2014,5,5,19
20140506,2014,5,6,19
20140507,2014,5,7,19
20140508,2014,5,8,19
20140509,2014,5,9,19
20140510,2014,5,10,19
20140511,2014,5,11,19
20140512,2014,5,12,20
20140513,2014,5,13,20
20140514,2014,5,14,20
20140515,2014,5,15,20
20140516,2014,5,16,20
20140517,2014,5,17,20
20140518,2014,5,18,20
20140519,2014,5,19,21
20140520,2014,5,20,21
